index,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,BBC Name
19,False,/ci8VXvLW40fKmr4bwBJCTxBCG1v.jpg,"[9648, 27, 53]",27428,ko,스승의 은혜,"Mi-ja, who has been taking care of a retired teacher, Ms. Park, invites several of her former students to her house 16 years after their graduation. Since the end of her teaching career, Park has been residing in the countryside, suffering from an illness while an ex-student, the kind and pretty Mi-ja cares for her.",9.134,/kTlqhcERlOwaWUV2e12yCTJ9ZeM.jpg,2006-07-25,Bloody Reunion,False,6.6,100,There Will Be Blood
0,False,/uivovSm1cRa3OHsgqfOzlHKpGtS.jpg,"[16, 35, 14]",1187998,zh,疯了！桂宝之三星夺宝,"Boo Kwai, a very naughty boy, accidentally arrives in a parallel universe thanks to one of his inventions.",127.474,/vwBowC3q6yVySuiCwandYnBgtwT.jpg,2022-07-29,Crazy Kwai Boo: Sanxingdui Spirited Away,False,4.786,7,Spirited Away
1,False,/mSDsSDwaP3E7dEfUPWy4J0djt4O.jpg,"[16, 10751, 14]",129,ja,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",92.847,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,2001-07-20,Spirited Away,False,8.538,15584,Spirited Away
2,False,/3or4Lkg4EMWDV4oJKXSEfYsCBF3.jpg,"[18, 12, 10751, 14]",1001196,ja,舞台『千と千尋の神隠し』,"A young girl named Chihiro finds herself trapped in a mysterious world inhabited by spirits and when her parents are turned into pigs, she must rescue them. The movie version of the stage production was filmed during the play’s 2022 run at the Imperial Theatre in Tokyo.",14.494,/gKNTbRtOZbcY58uhYJC2Lu1n0vl.jpg,2023-04-23,Spirited Away: Live on Stage,True,7.857,7,Spirited Away
3,False,,"[99, 16]",698296,en,The Art of 'Spirited Away',"The people that brought the film Sen to Chihiro no kamikakushi (2001) (a.k.a. ""Spirited Away"") to the US explain how it was converted into English, with some minor confusion between languages, and how well it did in both Japan and America.",3.584,/x1iaVnI4mTaETwAKTLyIAKFwQSJ.jpg,2003-04-15,The Art of 'Spirited Away',False,8.0,2,Spirited Away
0,False,/qRwkMMZhQRKM4uDaXpd2XbZZmkE.jpg,[18],85350,en,Boyhood,"The film tells a story of a divorced couple trying to raise their young son. The story follows the boy for twelve years, from first grade at age 6 through 12th grade at age 17-18, and examines his relationship with his parents as he grows.",27.526,/2BvtvDUyxiMJ4dmKfiQf4qdOHQN.jpg,2014-06-05,Boyhood,False,7.507,4938,Boyhood
1,False,,[],1007974,en,Boyhood,An Edgar A. Guest Poetic Gem featuring the song Down the Lane to Yesterday with a vocal by Al Shayne.,0.896,,1935-01-01,Boyhood,False,0.0,0,Boyhood
2,False,/yFyQZHB948VwO8cMk2VNVVbMM96.jpg,"[28, 80, 9648, 35]",984317,ru,Гром: Трудное детство,"In 1990s St. Petersburg, police major Konstantin Grom is trying to find and neutralize the new criminal boss, nicknamed Anubis, while his ten year old son Igor is trying to earn money by getting involved in dubious adventures",4.348,/vOTy3uYYB28XqYm4etTql1tDMHa.jpg,2022-12-30,Grom: Boyhood,False,7.6,11,Boyhood
3,False,/oVOkSiz9OvtC0OFvWIYKyA6Ly0d.jpg,"[18, 10752]",112959,ja,少年期,"When a family has to relocate due to the war, they are ostracized by their new community.",4.088,/dd1vPgQq3UxkcZnaEg9zXv3SGlc.jpg,1951-05-12,Boyhood,False,6.7,9,Boyhood
4,False,,[99],710014,pt,"Infância, Adolescência, Juventude","Childhood, Boyhood, Youth is a gripping coming-of-age story set within the walls of the National Conservatory Dance School in Lisbon, Portugal. The film takes us into the little-known world of classical dance, letting us witness moments of learning, rivalry and bonding between the students as they are put to the test during three key moments that will determine the rest of their lives.",0.6,/fVzmHzGxbGUI1lr5xrdn6MQXgyd.jpg,2019-11-28,"Childhood, Boyhood, Youth",False,10.0,1,Boyhood
5,False,/6GC1qh1KeRT1dzWXH37qdCsGLe6.jpg,[],306709,nl,Merijntje Gijzen's Jeugd,"Merijntje Gijzen is a small boy growing up in Brabant, in the south of the Netherlands. One day, out on one of his walks, he meets infamous poacher 'De Kruik,' and the two become friends. De Kruik is in love with Janekee but she is more interested in the new village policeman.",1.13,/7sJQPlb4Ep19P1Q5xiYnVvZy9yL.jpg,1936-09-17,Merijntje Gijzen's Boyhood,False,7.0,1,Boyhood
6,False,,"[10751, 28, 12]",211841,en,Good Old Boy: A Delta Boyhood,"A timeless story of a boy's adventures growing up in a small Southern town, Yazoo City, in the 1940s during World War II, roaming with his friends, playing practical jokes, and getting into trouble.",4.156,,1988-11-11,Good Old Boy: A Delta Boyhood,False,6.0,1,Boyhood
7,False,/h7dc7SqKxpyevAg0AJzL92cgtgK.jpg,"[16, 10751, 35]",83745,en,Boyhood Daze,"Ralph gets sent to his room for breaking a window. There, he passes the time in Walter Mitty-type fashion, daydreaming that he's a parent-saving jungle explorer, an alien-fighting jet ace and a convict.",1.954,/gJml0xegdCtktLEQ9VeRq5eOKta.jpg,1957-04-20,Boyhood Daze,False,5.8,21,Boyhood
8,False,,[],375528,en,WWE: Shawn Michaels - Boyhood Dream,"In 1996, Shawn Michaels won the Royal Rumble for the second year in a row. It set the stage for the year that would see Shawn Michaels evolve into ""The Showstopper, The Main Event."" When he won the Iron Man Match vs. Bret Hart as WrestleMania XII, his boyhood dream of being WWE Champion was realized. Holding onto the dream took guts & determination. Featuring matches from 1996:, WrestleMania XII vs. Bret Hart, In Your House vs. Diesel, In Your House vs. British Bulldog, In Your House vs. Sycho Sid, Summer Slam vs. Vader, In Your House vs. Mankind, Survivor Series vs. Sycho Sid, Royal Rumble 1997 vs. Sycho Sid",1.264,/9N1vUEVWEPVJURsnK2WW2CWYbVh.jpg,2004-09-14,WWE: Shawn Michaels - Boyhood Dream,True,0.0,0,Boyhood
9,False,,[99],1060910,en,"to boyhood, i never knew him",Archive footage from 2006 - 2010 of a young girl growing up during the ages of four to eight. Only fragments of what is remembered exists. Words from a transgender man float to the surface as fleeting memories go on.,1.4,/xzSj80QLxWDXKJSltBAQUFpKSuu.jpg,2022-12-13,"to boyhood, i never knew him",False,0.0,0,Boyhood
10,False,,[],803748,en,A Ben of All Trades: The Most Inventive Boyhood of Benjamin Franklin,"Young Benjamin Franklin wants to be a sailor, but his father won't hear of it. The other trades he tries - candle maker, joiner, boot closer, turner - bore him through and through. Curious and inventive, Ben prefers to read, swim, fly his kite, and fly his kite while swimming. But each time he fails to find a profession, he takes some important bit of knowledge with him. That tendency is exactly what leads him to become the astonishingly versatile genius we remember today. Inspired by The Autobiography of Benjamin Franklin, Michael J. Rosen’s wry tale captures Ben’s spirit in evocative yet playful language, while illustrations by Matt Tavares follow Ben from the workbench to the water in vivid detail. A love story to the value of variety, A Ben of All Trades sheds light on an unconventional path to greatness and humanizes a towering figure in American history.",0.6,/2NtualXtTOzOAcAHiZWQRsGQ0fc.jpg,,A Ben of All Trades: The Most Inventive Boyhood of Benjamin Franklin,False,0.0,0,Boyhood
11,False,,[99],859480,en,The Monte Cristo Cottage: Boyhood Home of Eugene O'Neill,"The new and restored documentary introduces visitors to the early life and works of O’Neill, his troubled family relationships, and the role the cottage played in his dramas. The original film won a Grand Prize “AMI” Award for Best Documentary at the Association of Multi-Image International Festival in 1982.",0.626,/qcm5e0nC6xQlsw1J3nq6aLXDE4m.jpg,,The Monte Cristo Cottage: Boyhood Home of Eugene O'Neill,False,0.0,0,Boyhood
12,False,,[99],88917,en,Boyhood Shadows,"Boyhood Shadows journeys with Glenn, revealing a story that began as a young boy under the power of a sexual predator. The story chronicles Glenn’s struggle as he tries to make sense of his life as a youngster, keeping his secret and shame inside, promising to tell no one. Quelling his pain as a teen through alcohol and drugs, he held tight to his secret. Glenn’s story is detailed by wrenching testimonials of his brothers and sister, his mother and father – who each recognized something was wrong with this once-golden-boy – but at a loss to understand the cause of his devastation.  After suffering for decades, living on the streets, addicted to alcohol and drugs and sex – Glenn finally came up for air. It tells of his past and his present…funny, poignant and sad. Glenn’s story is interspersed with those of twenty other boys-turned-men who share the same history. Their stories are all different…but unfortunately, all the same. One in six boys is sexually molested by the age of 16.",0.6,,,Boyhood Shadows,False,0.0,0,Boyhood
13,False,,[18],733397,uk,Отроцтво,"At dawn, the mother blesses her son bidding him farewell. He is accompanied by his father. Together they go to the station. There, his girlfriend is waiting for him. She does not only see him off, but is going to leave with him. The father does not let her go. They stay, and the boy goes to where a new life awaits him, without the father’s watchful eye, mother’s care and girlfriend’s tears. According to the director, here the main character had difficult relationships, and there begins a new stage, his life will change, but we will not see it.",0.6,/uk2i6ClLqsh7KVUPnY8fmbAFgCx.jpg,2008-01-01,Adolescence,False,0.0,0,Boyhood
0,False,/jz9Kep0xWjiA6QDHSsd43ASxNfj.jpg,"[878, 18, 10749]",38,en,Eternal Sunshine of the Spotless Mind,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",74.798,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,2004-03-19,Eternal Sunshine of the Spotless Mind,False,8.101,14167,Eternal Sunshine of the Spotless Mind
0,False,,[18],703731,en,A Separation,"On a warm autumn day in 1990, Huixian, a young Chinese woman, arrives in Florida to reunite with her PhD husband, after a four-year separation. Filled with blossoming hope and desire, she is introduced to another side of American life.",0.6,/fmngHGvRYC9wT3nEFOcVsXGp9pH.jpg,2019-08-03,A Separation,False,0.0,0,A Separation
1,False,/kcXBa2ru0PXcGI8U3JiInsG6FRR.jpg,[18],60243,fa,جدایی نادر از سیمین,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,17.11,/wQVvASmpm8jGhJBQU20OkoMcNzi.jpg,2011-02-15,A Separation,False,7.901,1623,A Separation
2,False,/Nb6eUFJ1pxwT8MHAeSSyLypvQb.jpg,"[80, 53]",506815,en,A Violent Separation,"1983. In a quiet Midwestern town, a young deputy covers up a murder at the hands of his brother triggering a series of events that sends them and the victim's family towards a shattering climax.",7.658,/yNlLMfrfPExwqLZSOFbqmkawIpg.jpg,2019-05-17,A Violent Separation,False,7.11,77,A Separation
3,False,,[99],258675,sv,Att skiljas,"A tragicomic documentary that portrays the very last acts of a long marriage. A film about the tentative search for a beginning of what - finally, and unfortunately - is over.",1.304,/A7cea5M4O486OT8usONSRl0rRt3.jpg,2014-03-07,A Separation,False,5.0,3,A Separation
4,False,,[99],307381,fa,"Az Iran, yek jodaee","In March 2012, Iranian movie ""A Separation"" by Asghar Farhadi, won the Oscar Award for the Best Foreign Language Film. For the Iranian people this was more than a cinematic award. When sanctions and threats of war with Iran covered the world headlines, Farhadi talked about Iran's love for peace and the rich culture of the Iranians on the stage when receiving his award. This time the Iranians voice was heard through someone other than the government officials. This documentary shows the reaction of the Iranians to this Oscar award and has a general view on Iran's society of today.",1.928,/l285J2OqfgQHLAKNYZy20S2qUvy.jpg,2011-03-16,"From Iran, a Separation",False,8.6,10,A Separation
5,False,/neNbYJrwTvH6qtrT8XbOSfJYjTy.jpg,"[10751, 18]",725812,az,آرپاچای، نغمه جدایی,"It is the hearts that make real countries, not the borders drawn on the maps, the land of earthly love without a map, without a geographical border",0.6,/fTUmEU7imWpiMY6tm6D3xGDm4Z9.jpg,2018-12-31,"Arpachai, a song of separation",False,0.0,0,A Separation
